iter	Passed	Remaining
0	216	216478
1	222	111182
2	227	75747
3	233	58065
4	237	47332
5	242	40247
6	248	35243
7	253	31423
8	258	28494
9	263	26135
10	268	24136
11	273	22499
12	278	21143
13	283	19963
14	288	18960
15	293	18075
16	299	17292
17	304	16598
18	309	15958
19	314	15393
20	319	14891
21	323	14384
22	327	13906
23	330	13457
24	333	13002
25	335	12573
26	337	12178
27	339	11793
28	341	11437
29	343	11119
30	346	10825
31	347	10521
32	349	10233
33	350	9961
34	351	9704
35	353	9459
36	354	9228
37	356	9015
38	357	8817
39	359	8638
40	361	8464
41	363	8288
42	364	8120
43	366	7956
44	367	7802
45	369	7662
46	373	7564
47	374	7432
48	376	7303
49	377	7178
50	379	7058
51	380	6941
52	382	6828
53	383	6721
54	385	6626
55	387	6536
56	389	6440
57	390	6343
58	391	6250
59	393	6157
60	394	6070
61	395	5989
62	397	5908
63	398	5830
64	400	5761
65	401	5688
66	403	5623
67	405	5553
68	406	5484
69	407	5418
70	409	5353
71	410	5289
72	411	5225
73	412	5163
74	414	5106
75	415	5054
76	417	5001
77	418	4946
78	419	4892
79	420	4839
80	422	4788
81	423	4739
82	424	4685
83	425	4639
84	426	4591
85	427	4545
86	429	4504
87	430	4464
88	432	4424
89	433	4382
90	434	4342
91	436	4303
92	437	4264
93	438	4224
94	439	4186
95	440	4148
96	441	4112
97	443	4083
98	445	4055
99	447	4025
100	448	3992
101	450	3962
102	451	3932
103	453	3903
104	454	3872
105	455	3840
106	456	3809
107	457	3781
108	459	3756
109	461	3732
110	462	3706
111	463	3678
112	465	3651
113	466	3625
114	467	3599
115	468	3572
116	469	3544
117	470	3518
118	471	3494
119	473	3473
120	475	3453
121	476	3429
122	477	3406
123	479	3384
124	480	3363
125	481	3340
126	482	3317
127	483	3295
128	484	3274
129	486	3253
130	487	3234
131	489	3217
132	490	3200
133	492	3181
134	493	3162
135	495	3144
136	496	3126
137	497	3108
138	498	3089
139	499	3070
140	501	3052
141	502	3034
142	503	3019
143	505	3004
144	506	2988
145	507	2971
146	509	2955
147	510	2938
148	511	2922
149	512	2905
150	513	2889
151	514	2872
152	516	2857
153	517	2843
154	518	2828
155	520	2815
156	521	2800
157	522	2785
158	523	2770
159	525	2756
160	525	2740
161	527	2726
162	528	2712
163	529	2698
164	530	2684
165	531	2671
166	533	2659
167	534	2647
168	535	2634
169	536	2620
170	537	2607
171	538	2594
172	540	2581
173	541	2569
174	542	2556
175	543	2544
176	544	2532
177	545	2520
178	547	2509
179	548	2499
180	549	2487
181	550	2475
182	552	2464
183	553	2453
184	554	2441
185	555	2430
186	556	2419
187	557	2408
188	558	2397
189	559	2387
190	561	2377
191	562	2368
192	563	2357
193	564	2347
194	566	2337
195	567	2327
196	568	2316
197	569	2306
198	570	2296
199	571	2287
200	572	2277
201	574	2267
202	575	2258
203	576	2250
204	577	2241
205	579	2231
206	580	2222
207	581	2213
208	582	2203
209	583	2194
210	584	2185
211	585	2176
212	586	2167
213	587	2158
214	588	2149
215	590	2142
216	591	2134
217	592	2126
218	593	2117
219	594	2109
220	596	2101
221	597	2092
222	598	2084
223	599	2076
224	600	2068
225	601	2060
226	602	2052
227	603	2044
228	605	2037
229	606	2030
230	608	2024
231	609	2016
232	610	2009
233	611	2002
234	613	1995
235	614	1988
236	615	1980
237	616	1973
238	617	1966
239	618	1958
240	620	1953
241	621	1946
242	622	1939
243	623	1932
244	624	1925
245	625	1918
246	627	1911
247	628	1904
248	629	1897
249	630	1891
250	631	1884
251	632	1877
252	633	1871
253	635	1865
254	636	1859
255	637	1852
256	638	1846
257	639	1839
258	640	1833
259	642	1827
260	643	1821
261	644	1814
262	645	1808
263	646	1802
264	647	1796
265	648	1790
266	650	1785
267	651	1779
268	652	1773
269	653	1767
270	654	1761
271	655	1755
272	657	1749
273	658	1743
274	659	1737
275	660	1732
276	661	1726
277	662	1720
278	664	1716
279	665	1710
280	666	1705
281	667	1700
282	668	1694
283	669	1688
284	670	1683
285	672	1678
286	673	1672
287	674	1667
288	675	1662
289	676	1656
290	677	1651
291	679	1647
292	680	1642
293	682	1637
294	683	1632
295	684	1627
296	685	1622
297	686	1617
298	687	1612
299	688	1607
300	690	1602
301	691	1597
302	692	1592
303	693	1588
304	695	1584
305	696	1579
306	697	1574
307	698	1570
308	700	1565
309	701	1561
310	702	1556
311	703	1551
312	704	1546
313	705	1541
314	706	1537
315	708	1533
316	709	1529
317	711	1524
318	712	1520
319	713	1515
320	714	1511
321	715	1506
322	716	1502
323	717	1497
324	719	1493
325	720	1488
326	721	1484
327	722	1480
328	724	1476
329	725	1472
330	726	1468
331	727	1463
332	728	1460
333	730	1456
334	731	1452
335	733	1449
336	734	1445
337	735	1441
338	737	1437
339	738	1433
340	739	1429
341	740	1425
342	742	1421
343	743	1417
344	744	1413
345	745	1409
346	746	1404
347	747	1400
348	748	1396
349	749	1392
350	750	1388
351	752	1385
352	753	1381
353	754	1377
354	756	1373
355	757	1369
356	758	1365
357	759	1361
358	760	1357
359	761	1353
360	762	1350
361	763	1346
362	764	1342
363	766	1338
364	767	1335
365	768	1331
366	769	1327
367	771	1324
368	772	1320
369	773	1316
370	774	1312
371	775	1309
372	776	1305
373	777	1301
374	778	1298
375	779	1294
376	781	1291
377	782	1288
378	784	1284
379	785	1281
380	786	1277
381	787	1274
382	788	1270
383	790	1267
384	791	1263
385	792	1260
386	793	1256
387	794	1253
388	795	1250
389	797	1247
390	799	1244
391	800	1241
392	801	1238
393	802	1234
394	804	1231
395	805	1228
396	806	1225
397	808	1222
398	809	1219
399	811	1217
400	813	1214
401	814	1212
402	816	1208
403	817	1206
404	819	1203
405	820	1200
406	822	1198
407	823	1195
408	825	1192
409	827	1190
410	828	1187
411	830	1184
412	831	1181
413	833	1179
414	834	1176
415	835	1172
416	836	1169
417	838	1166
418	839	1164
419	841	1162
420	843	1159
421	844	1156
422	846	1154
423	847	1151
424	848	1147
425	849	1145
426	851	1142
427	852	1139
428	854	1137
429	856	1135
430	858	1133
431	860	1130
432	861	1128
433	863	1125
434	864	1123
435	866	1120
436	867	1117
437	868	1114
438	870	1112
439	871	1109
440	873	1106
441	874	1104
442	875	1101
443	877	1098
444	878	1095
445	879	1092
446	881	1090
447	882	1087
448	884	1084
449	885	1082
450	887	1080
451	889	1078
452	890	1075
453	892	1073
454	894	1071
455	895	1068
456	897	1065
457	898	1062
458	899	1060
459	900	1057
460	902	1054
461	903	1052
462	904	1049
463	906	1046
464	907	1043
465	908	1041
466	909	1038
467	910	1035
468	912	1032
469	913	1030
470	914	1027
471	916	1024
472	917	1022
473	918	1019
474	919	1016
475	920	1013
476	921	1010
477	922	1007
478	923	1004
479	925	1002
480	926	999
481	927	996
482	928	994
